Nazwisko i imiona;Nazwa komitetu
Karina Anna BOSAK;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Jan Stanis≥aw GRABIEC;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kinga Magdalena GAJEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maciej Grzegorz LASEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr KANDYBA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adam Micha≥ GOMO£A;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marcelina Monika ZAWISZA;KOMITET WYBORCZY NOWA LEWICA
Pawe≥ Piotr KUKIZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin Micha≥ OCIEPA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Katarzyna Beata CZOCHARA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Janusz Marcin KOWALSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
W≥odzimierz Bogdan SKALIK;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Tomasz SIEMONIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Danuta JAZ£OWIECKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Witold Maciej ZEMBACZY—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rajmund Tadeusz MILLER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Tadeusz KOSTUå;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Bartosz ROMOWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marek Tadeusz KUCHCI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna Katarzyna SCHMIDT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Marcin URUSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Mieczys≥aw BABINETZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Teresa PAMU£A;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Tadeusz CHRZAN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Maria Stanis≥awa KUROWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej Tomasz ZAPA£OWSKI;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Joanna Zofia FRYDRYCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Zdzis≥aw RZ•SA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Adam DZIEDZIC;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Eløbieta Jolanta BURKIEWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Zbigniew Tadeusz ZIOBRO;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof SOBOLEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ewa Maria LENIART;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Rafa≥ WEBER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jan Marek WARZECHA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Zbigniew Micha≥ CHMIELOWIEC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Fryderyk Sylwester KAPINOS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Kazimierz Edward GO£OJUCH;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin JÛzef WARCHO£;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Micha≥ BRAUN;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Pawe≥ Robert KOWAL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krystyna SKOWRO—SKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zdzis≥aw GAWLIK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Szymon Franciszek HO£OWNIA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Stefan KRAJEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Barbara OKU£A;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Jacek Robert SASIN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jacek BOGUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Adam ANDRUSZKIEWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jaros≥aw ZIELI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dariusz PIONTKOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Kazimierz GWIAZDOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Sebastian £UKASZEWICZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof BOSAK;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Krzysztof TRUSKOLASKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Alicja £EPKOWSKA-GO£Aå;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jacek NIEDèWIEDZKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Agnieszka Maria BUCZY—SKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Magdalena Joanna SROKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Katarzyna Agata KOTULA;KOMITET WYBORCZY NOWA LEWICA
Kacper Maciej P£AØY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Kazimierz SMOLI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jaros≥aw Daniel SELLIN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agnieszka Dominika POMASKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jacek Krzysztof KARNOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Magdalena Ma≥gorzata KO£ODZIEJCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr ADAMOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Patryk GABRIEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jaros≥aw Leszek WA£ SA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek BIERNACKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Wioleta Barbara TOMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Agnieszka Ewa DZIEMIANOWICZ-B•K;KOMITET WYBORCZY NOWA LEWICA
Piotr JÛzef M‹LLER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Aleksander Miko≥aj MR”WCZY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dorota Irvina ARCISZEWSKA-MIELEWCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin Micha≥ HORA£A;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Stanis≥aw TYSZKA;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Barbara Anna NOWACKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zbigniew Marek KONWI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Henryka Krystyna KRZYWONOS-STRYCHARSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kazimierz Florian PLOCKE;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Stanis≥aw JÛzef LAMCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rafa≥ SIEMASZKO;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Miros≥aw Tadeusz SUCHO—;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Stanis≥aw SZWED;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Pawe≥ PUDA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Przemys≥aw Mieczys≥aw DRABEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Krzysztof GAØA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bronis≥aw Edward FOLTYN;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Miros≥awa NYKIEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ma≥gorzata Anna P PEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Apoloniusz Leopold TAJNER;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Henryk KIEPURA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Lidia Ewa BURZY—SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Szymon Stanis≥aw GIØY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej Janusz GAWRON;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Izabela Dorota LESZCZYNA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej SZEWI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Przemys≥aw Jaros≥aw WITEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Pawe≥ STRACH;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Wanda Hanna NOWICKA;KOMITET WYBORCZY NOWA LEWICA
Boøena Teresa BORYS-SZOPA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jaros≥aw Wies≥aw WIECZOREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Wojciech Piotr SZARAMA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krystyna Maria SZUMILAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Krzysztof GZIK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marta Joanna GOLBIK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Marian G£OGOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
£ukasz Tomasz OSMALAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Boles≥aw Grzegorz PIECHA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ JAB£O—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ Piotr WOå;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz MATUSIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Roman Henryk FRITZ;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Krzysztof Jan GADOWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Gabriela Teresa LENARTOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Grzegorz KRZ•KA£A;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Micha≥ Sebastian GRAMATYKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Maciej KONIECZNY;KOMITET WYBORCZY NOWA LEWICA
Mateusz Jakub MORAWIECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ Marek W”JCIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marek Jacek WESO£Y;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jerzy Jan POLACZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz Adam P£ACZEK;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Borys Piotr BUDKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Monika Anna ROSA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Wojciech Piotr KR”L;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Edyta KO£ODZIEJ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
£ukasz Andrzej åCIEBIOROWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Kamil Wies≥aw WNUK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
W≥odzimierz CZARZASTY;KOMITET WYBORCZY NOWA LEWICA
£ukasz Karol LITEWKA;KOMITET WYBORCZY NOWA LEWICA
Ewa Danuta MALIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Waldemar Franciszek ANDZEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Robert Piotr WARWAS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Wojciech Pawe≥ SA£UGA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Barbara DOLNIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mateusz Andrzej BOCHENEK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Czes≥aw Adam SIEKIERSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Rafa≥ Marcin KASPRZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Andrzej Jan SZEJNA;KOMITET WYBORCZY NOWA LEWICA
Jaros≥aw Aleksander KACZY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Anna Maria KRUPKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Krzysztof Bogdan LIPIEC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Agata Katarzyna WOJTYSZEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej Micha≥ KRYJ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ CIEåLAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Mariusz Marek GOSEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bart≥omiej DORYWALSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ Jan WAWER;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆
Marzena OK£A-DREWNOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Artur Daniel GIERADA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Lucjan Marek PIETRZCZYK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Roman Jacek GIERTYCH;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Zbigniew ZIEJEWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Leonard Seweryn KRASULSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Teresa WILK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Andrzej åLIWKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Robert GONTARZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jacek PROTAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Eløbieta Kazimiera GELERT;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Stanis≥aw Andrzej GORCZYCA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Urszula Stefania PAS£AWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Marcin Robert KULASEK;KOMITET WYBORCZY NOWA LEWICA
Janusz Antoni CIESZY—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Artur Henryk CHOJECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Iwona Ewa ARENT;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Olga Ewa SEMENIUK-PATKOWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Janusz W≥adys≥aw CICHO—;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Anna WOJCIECHOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ PAPKE;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maciej Stanis≥aw WR”BEL;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Andrzej Marian GRZYB;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Barbara Anna OLIWIECKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Wies≥aw Andrzej SZCZEPA—SKI;KOMITET WYBORCZY NOWA LEWICA
Marlena Magdalena MAL•G;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Katarzyna S”JKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jan Micha≥ DZIEDZICZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jan MOSI—SKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Piotr Marek KALETA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jaros≥aw Piotr URBANIAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Karolina Monika PAWLICZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Grzegorz Stanis≥aw RUSIECKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Mariusz Sebastian WITCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Paulina HENNIG-KLOSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Micha≥ PYRZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Tadeusz TOMASZEWSKI;KOMITET WYBORCZY NOWA LEWICA
Zbigniew Grzegorz HOFFMANN;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Witold Wojciech CZARNECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Zbigniew DOLATA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ryszard BARTOSIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Micha≥ KO£ODZIEJCZAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Tomasz Piotr NOWAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Krzysztof Micha≥ PASZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Adam S≥awomir LUBO—SKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Krzysztof W≥adys≥aw CZARNECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Grzegorz PIECHOWIAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Marcin Bartosz PORZUCEK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Jakub Adam RUTNICKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Maria Ma≥gorzata JANYSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Piotr Krzysztof G£OWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Henryk Marian SZOPI—SKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Ewa Katarzyna SCHƒDLER;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Jacek Jerzy TOMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Katarzyna UEBERHAN;KOMITET WYBORCZY NOWA LEWICA
Szymon Andrzej SZYNKOWSKI VEL S K;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bart≥omiej Piotr WR”BLEWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Adam Stanis≥aw SZ£APKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Katarzyna Renata KIERZEK-KOPERSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marcin Rafa≥ BOSACKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Bartosz JÛzef ZAWIEJA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Franciszek Wojciech STERCZEWSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Rados≥aw LUBCZYK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Czes≥aw HOC;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Pawe≥ Maciej SZEFERNAKER;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Ma≥gorzata Joanna GOLI—SKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Bartosz Adam AR£UKOWICZ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Marek Tomasz HOK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Renata Urszula RAK;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Pawe≥ SUSKI;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
Jaros≥aw Micha≥ RZEPA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE
Dariusz Krzysztof WIECZOREK;KOMITET WYBORCZY NOWA LEWICA
Marek JÛzef GR”BARCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Artur Les≥aw SZA£ABAWKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Zbigniew BOGUCKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
Dariusz Piotr MATECKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆
S≥awomir Witold NITRAS;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
